LAMMPS Description

     5184  atoms
     0  bonds
     0  angles
     0  dihedrals
     0  impropers

     2  atom types

  0.0 42.72 xlo xhi
  0.0 42.72 ylo yhi
  0.0 42.72 zlo zhi

Masses

    1 28.0855
    2  15.9994

Atoms # atomic

259 2 2.67 11.57 34.71
260 2 0.89 13.35 34.71
261 2 0.89 9.79 31.15
262 2 4.45 13.35 31.15
263 2 6.23 13.35 29.37
264 2 6.23 8.01 34.71
265 1 0.0 7.12 35.6
266 1 0.0 10.68 39.16
267 1 1.78 8.9 37.38
268 1 3.56 7.12 39.16
269 1 1.78 12.46 40.94
270 1 5.34 12.46 37.38
271 1 3.56 10.68 35.6
272 1 5.34 8.9 40.94
273 2 0.89 8.01 36.49
274 2 6.23 11.57 38.27
275 2 2.67 9.79 36.49
276 2 4.45 8.01 40.05
277 2 0.89 11.57 40.05
278 2 4.45 11.57 36.49
279 2 2.67 13.35 40.05
280 2 2.67 8.01 38.27
281 2 4.45 9.79 41.83
282 2 6.23 9.79 40.05
283 2 2.67 11.57 41.83
284 2 0.89 13.35 41.83
285 2 0.89 9.79 38.27
286 2 4.45 13.35 38.27
287 2 6.23 13.35 36.49
288 2 6.23 8.01 41.83
289 1 0.0 14.24 0.0
290 1 0.0 17.8 3.56
291 1 1.78 16.02 1.78
292 1 3.56 14.24 3.56
293 1 1.78 19.58 5.34
294 1 5.34 19.58 1.78
295 1 3.56 17.8 0.0
296 1 5.34 16.02 5.34
297 2 0.89 15.13 0.89
298 2 6.23 18.69 2.67
299 2 2.67 16.91 0.89
300 2 4.45 15.13 4.45
301 2 0.89 18.69 4.45
302 2 4.45 18.69 0.89
303 2 2.67 20.47 4.45
304 2 2.67 15.13 2.67
305 2 4.45 16.91 6.23
306 2 6.23 16.91 4.45
307 2 2.67 18.69 6.23
308 2 0.89 20.47 6.23
309 2 0.89 16.91 2.67
310 2 4.45 20.47 2.67
311 2 6.23 20.47 0.89
312 2 6.23 15.13 6.23
313 1 0.0 14.24 7.12
314 1 0.0 17.8 10.68
315 1 1.78 16.02 8.9
316 1 3.56 14.24 10.68
317 1 1.78 19.58 12.46
318 1 5.34 19.58 8.9
319 1 3.56 17.8 7.12
320 1 5.34 16.02 12.46
321 2 0.89 15.13 8.01
322 2 6.23 18.69 9.79
323 2 2.67 16.91 8.01
324 2 4.45 15.13 11.57
325 2 0.89 18.69 11.57
326 2 4.45 18.69 8.01
327 2 2.67 20.47 11.57
328 2 2.67 15.13 9.79
329 2 4.45 16.91 13.35
330 2 6.23 16.91 11.57
331 2 2.67 18.69 13.35
332 2 0.89 20.47 13.35
333 2 0.89 16.91 9.79
334 2 4.45 20.47 9.79
335 2 6.23 20.47 8.01
336 2 6.23 15.13 13.35
337 1 0.0 14.24 14.24
338 1 0.0 17.8 17.8
339 1 1.78 16.02 16.02
340 1 3.56 14.24 17.8
341 1 1.78 19.58 19.58
